Transaction_date,Product,Price,Payment_Type,Card_Number,Name,City,State,Country,Account_Created,Last_Login,Latitude,Longitude
1/4/09 13:17,Product1,1200,Mastercard,5287379262968457,Renee Elisabeth,Tel Aviv,Tel Aviv,Israel,1/4/09 13:03,1/4/09 22:10,32.0666667,34.7666667
1/5/09 4:10,Product1,1200,Mastercard,5280188127937558,Nicola,Roodepoort,Gauteng,South Africa,1/5/09 2:33,1/7/09 5:13,-26.1666667,27.8666667
1/5/09 4:10,Product1,1200,American,342157756157066,Nicola,Roodepoort,Gauteng,South Africa,1/5/09 2:33,1/7/09 5:13,-26.1666667,27.8666667
1/2/09 1:11,Product1,1200,Mastercard,5277382417255798,Lena,Kuopio,Ita-Suomen Laani,Finland,12/31/08 2:48,1/7/09 10:20,62.9,27.6833333
1/2/09 1:11,Product1,1200,Visa,4915868650180652,Lena,Kuopio,Ita-Suomen Laani,Finland,12/31/08 2:48,1/7/09 10:20,62.9,27.6833333
1/8/09 1:59,Product1,1200,Mastercard,5312990455432850,SYLVIA,Vesenaz,Geneve,Switzerland,11/28/07 11:56,1/8/09 7:20,46.2333333,6.2
1/3/09 14:44,Product1,1200,Visa,4593781145107322,Gouya,Echuca,Victoria,Australia,9/25/05 21:13,1/3/09 14:22,-36.1333333,144.75
1/4/09 14:11,Product1,1200,Visa,4592020199981824,Aidan,Chatou,Ile-de-France,France,6/3/08 4:22,1/5/09 1:17,48.8833333,2.15
1/4/09 14:11,Product1,1200,Mastercard,5106861069358015,Aidan,Chatou,Ile-de-France,France,6/3/08 4:22,1/5/09 1:17,48.8833333,2.15
1/5/09 11:37,Product1,1200,Visa,4234120954489197,Janet,Ottawa,Ontario,Canada,1/5/09 9:35,1/5/09 19:24,45.4166667,-75.7
1/5/09 11:37,Product1,1200,American,372837214255613,Janet,Ottawa,Ontario,Canada,1/5/09 9:35,1/5/09 19:24,45.4166667,-75.7
1/5/09 20:00,Product2,3600,Visa,4904344348439820,James,Burpengary,Queensland,Australia,12/10/08 19:53,1/8/09 17:58,-27.1666667,152.95
1/5/09 20:00,Product2,3600,Mastercard,5395774643068945,James,Burpengary,Queensland,Australia,12/10/08 19:53,1/8/09 17:58,-27.1666667,152.95
1/3/09 13:24,Product1,1200,Visa,4737470823565213,Mehmet Fatih,Helsingor,Frederiksborg,Denmark,1/3/09 12:47,1/9/09 11:14,56.0333333,12.6166667
